"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","molecular adaptor activity","GO:0060090","0.0016825778617605312","2.7740248295405143","554","55","9","25177","ENSMUSG00000064349,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000064336,ENSMUSG00000064372,ENSMUSG00000064340,ENSMUSG00000064344,ENSMUSG00000064338"
"GO:MF","transmembrane receptor protein kinase activity","GO:0019199","0.0021742233505029503","2.6626958443764224","80","2405","22","25177","ENSMUSG00000020467,ENSMUSG00000014361,ENSMUSG00000052155,ENSMUSG00000062960,ENSMUSG00000007613,ENSMUSG00000009376,ENSMUSG00000030849,ENSMUSG00000052430,ENSMUSG00000035305,ENSMUSG00000028289,ENSMUSG00000029648,ENSMUSG00000067336,ENSMUSG00000029231,ENSMUSG00000005534,ENSMUSG00000020122,ENSMUSG00000059146,ENSMUSG00000026235,ENSMUSG00000005533,ENSMUSG00000005672,ENSMUSG00000006386,ENSMUSG00000026674,ENSMUSG00000021796"
"GO:MF","pre-mRNA binding","GO:0036002","0.0033385180250764374","2.4764462746139344","301","58","7","25177","ENSMUSG00000118876,ENSMUSG00000080538,ENSMUSG00000064923,ENSMUSG00000065176,ENSMUSG00000119895,ENSMUSG00000118790,ENSMUSG00000119427"
"GO:MF","nucleosome binding","GO:0031491","0.0068602390213077175","2.1636607525400993","49","23","3","25177","ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000052565"
"GO:MF","RNA binding","GO:0003723","0.008246087081679884","2.0837520832026986","2356","58","17","25177","ENSMUSG00000064349,ENSMUSG00000118876,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000088148,ENSMUSG00000080538,ENSMUSG00000064336,ENSMUSG00000064923,ENSMUSG00000065176,ENSMUSG00000064372,ENSMUSG00000064340,ENSMUSG00000064344,ENSMUSG00000119895,ENSMUSG00000118790,ENSMUSG00000064338,ENSMUSG00000020783,ENSMUSG00000119427"
"GO:MF","transmembrane receptor protein tyrosine kinase activity","GO:0004714","0.026488037378937193","1.5769502193952696","62","2395","17","25177","ENSMUSG00000020467,ENSMUSG00000014361,ENSMUSG00000062960,ENSMUSG00000009376,ENSMUSG00000030849,ENSMUSG00000035305,ENSMUSG00000028289,ENSMUSG00000029648,ENSMUSG00000029231,ENSMUSG00000005534,ENSMUSG00000020122,ENSMUSG00000059146,ENSMUSG00000026235,ENSMUSG00000005533,ENSMUSG00000005672,ENSMUSG00000006386,ENSMUSG00000026674"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.027100716698113717","1.5670192237410843","426","4883","116","25177","ENSMUSG00000022229,ENSMUSG00000025094,ENSMUSG00000058248,ENSMUSG00000019194,ENSMUSG00000037996,ENSMUSG00000020411,ENSMUSG00000032806,ENSMUSG00000039156,ENSMUSG00000037434,ENSMUSG00000026824,ENSMUSG00000032839,ENSMUSG00000033792,ENSMUSG00000031129,ENSMUSG00000027087,ENSMUSG00000037408,ENSMUSG00000004988,ENSMUSG00000045246,ENSMUSG00000051497,ENSMUSG00000019943,ENSMUSG00000030209,ENSMUSG00000079055,ENSMUSG00000034112,ENSMUSG00000001095,ENSMUSG00000024597,ENSMUSG00000054640,ENSMUSG00000060681,ENSMUSG00000030376,ENSMUSG00000050138,ENSMUSG00000053519,ENSMUSG00000024727,ENSMUSG00000044708,ENSMUSG00000025986,ENSMUSG00000031170,ENSMUSG00000000216,ENSMUSG00000030109,ENSMUSG00000056073,ENSMUSG00000011034,ENSMUSG00000027365,ENSMUSG00000021733,ENSMUSG00000056258,ENSMUSG00000019935,ENSMUSG00000038879,ENSMUSG00000027130,ENSMUSG00000043029,ENSMUSG00000040373,ENSMUSG00000024935,ENSMUSG00000032570,ENSMUSG00000022462,ENSMUSG00000052310,ENSMUSG00000051331,ENSMUSG00000058743,ENSMUSG00000019146,ENSMUSG00000049265,ENSMUSG00000047037,ENSMUSG00000031376,ENSMUSG00000029470,ENSMUSG00000029700,ENSMUSG00000030452,ENSMUSG00000020155,ENSMUSG00000029234,ENSMUSG00000089774,ENSMUSG00000040118,ENSMUSG00000038497,ENSMUSG00000048833,ENSMUSG00000021135,ENSMUSG00000023169,ENSMUSG00000022797,ENSMUSG00000024270,ENSMUSG00000041654,ENSMUSG00000031232,ENSMUSG00000026463,ENSMUSG00000020838,ENSMUSG00000002771,ENSMUSG00000040896,ENSMUSG00000093954,ENSMUSG00000040724,ENSMUSG00000021730,ENSMUSG00000046410,ENSMUSG00000026576,ENSMUSG00000032412,ENSMUSG00000028420,ENSMUSG00000021629,ENSMUSG00000029467,ENSMUSG00000057182,ENSMUSG00000118664,ENSMUSG00000030987,ENSMUSG00000036853,ENSMUSG00000066152,ENSMUSG00000070304,ENSMUSG00000033998,ENSMUSG00000022464,ENSMUSG00000061273,ENSMUSG00000054414,ENSMUSG00000030096,ENSMUSG00000030089,ENSMUSG00000019969,ENSMUSG00000030302,ENSMUSG00000063142,ENSMUSG00000005802,ENSMUSG00000031934,ENSMUSG00000033161,ENSMUSG00000020805,ENSMUSG00000034462,ENSMUSG00000019894,ENSMUSG00000028836,ENSMUSG00000045053,ENSMUSG00000023030,ENSMUSG00000032769,ENSMUSG00000030287,ENSMUSG00000066150,ENSMUSG00000035798,ENSMUSG00000025993,ENSMUSG00000050963,ENSMUSG00000050556,ENSMUSG00000022416,ENSMUSG00000023073"
"GO:MF","pre-mRNA 5'-splice site binding","GO:0030627","0.04310073429989357","1.3655153307748766","213","83","6","25177","ENSMUSG00000118876,ENSMUSG00000080538,ENSMUSG00000064923,ENSMUSG00000119895,ENSMUSG00000119427,ENSMUSG00000119206"
"GO:BP","nucleosome assembly","GO:0006334","1.108769929125682e-26","25.955158561043845","104","415","30","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308,ENSMUSG00000051627,ENSMUSG00000069267,ENSMUSG00000114456,ENSMUSG00000036181,ENSMUSG00000095217,ENSMUSG00000099583,ENSMUSG00000096010"
"GO:BP","protein localization to CENP-A containing chromatin","GO:0061644","3.645010037609503e-26","25.438301271386496","29","202","17","27205","ENSMUSG00000069266,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338"
"GO:BP","nucleosome organization","GO:0034728","3.740822951739429e-24","23.42703284590555","124","415","30","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308,ENSMUSG00000051627,ENSMUSG00000069267,ENSMUSG00000114456,ENSMUSG00000036181,ENSMUSG00000095217,ENSMUSG00000099583,ENSMUSG00000096010"
"GO:BP","protein localization to chromosome, centromeric region","GO:0071459","1.943852696179605e-20","19.711336648699984","53","202","17","27205","ENSMUSG00000069266,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338"
"GO:BP","protein localization to chromatin","GO:0071168","1.51140305498898e-19","18.820619704280798","72","202","18","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338"
"GO:BP","protein-DNA complex assembly","GO:0065004","3.519444192855588e-17","16.453525916929557","214","275","26","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308,ENSMUSG00000051627,ENSMUSG00000069267,ENSMUSG00000114456"
"GO:BP","protein-DNA complex subunit organization","GO:0071824","4.781460979260748e-16","15.32043938408119","237","275","26","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093,ENSMUSG00000069310,ENSMUSG00000061482,ENSMUSG00000060981,ENSMUSG00000094338,ENSMUSG00000069308,ENSMUSG00000051627,ENSMUSG00000069267,ENSMUSG00000114456"
"GO:BP","protein localization to chromosome","GO:0034502","4.215373646836563e-15","14.375163923870263","136","98","15","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000071516,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000069309,ENSMUSG00000069270,ENSMUSG00000061615,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:BP","chromatin remodeling","GO:0006338","1.8710197419440367e-10","9.727921630045621","470","98","18","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:BP","translational elongation","GO:0006414","9.121151281746058e-9","8.03995034108462","79","55","8","27205","ENSMUSG00000064349,ENSMUSG00000064361,ENSMUSG00000064365,ENSMUSG00000064336,ENSMUSG00000064372,ENSMUSG00000064340,ENSMUSG00000064344,ENSMUSG00000064338"
"GO:BP","chromatin organization","GO:0006325","3.533611998734309e-8","7.451781139056646","643","98","18","27205","ENSMUSG00000069266,ENSMUSG00000058773,ENSMUSG00000049539,ENSMUSG00000050799,ENSMUSG00000075031,ENSMUSG00000056895,ENSMUSG00000052565,ENSMUSG00000060678,ENSMUSG00000069274,ENSMUSG00000064288,ENSMUSG00000062727,ENSMUSG00000069300,ENSMUSG00000067455,ENSMUSG00000091405,ENSMUSG00000069307,ENSMUSG00000114279,ENSMUSG00000069305,ENSMUSG00000060093"
"GO:BP","glycoprotein metabolic process","GO:0009100","1.0859799502376782e-7","6.9641781927780375","379","5333","128","27205","ENSMUSG00000049307,ENSMUSG00000051177,ENSMUSG00000049723,ENSMUSG00000060402,ENSMUSG00000042104,ENSMUSG00000034780,ENSMUSG00000025425,ENSMUSG00000066324,ENSMUSG00000033792,ENSMUSG00000032640,ENSMUSG00000038843,ENSMUSG00000042042,ENSMUSG00000043019,ENSMUSG00000030657,ENSMUSG00000052430,ENSMUSG00000035273,ENSMUSG00000036676,ENSMUSG00000022747,ENSMUSG00000038702,ENSMUSG00000067336,ENSMUSG00000034487,ENSMUSG00000022885,ENSMUSG00000005534,ENSMUSG00000021065,ENSMUSG00000026994,ENSMUSG00000028343,ENSMUSG00000051950,ENSMUSG00000031239,ENSMUSG00000036632,ENSMUSG00000021188,ENSMUSG00000028521,ENSMUSG00000027966,ENSMUSG00000021130,ENSMUSG00000003418,ENSMUSG00000032252,ENSMUSG00000045205,ENSMUSG00000032437,ENSMUSG00000040710,ENSMUSG00000035778,ENSMUSG00000039497,ENSMUSG00000036155,ENSMUSG00000043067,ENSMUSG00000032116,ENSMUSG00000000420,ENSMUSG00000022793,ENSMUSG00000075470,ENSMUSG00000036197,ENSMUSG00000031608,ENSMUSG00000034612,ENSMUSG00000008763,ENSMUSG00000070407,ENSMUSG00000049001,ENSMUSG00000055373,ENSMUSG00000019888,ENSMUSG00000024413,ENSMUSG00000036356,ENSMUSG00000005043,ENSMUSG00000025544,ENSMUSG00000029234,ENSMUSG00000021236,ENSMUSG00000056124,ENSMUSG00000026110,ENSMUSG00000010051,ENSMUSG00000043153,ENSMUSG00000067851,ENSMUSG00000047146,ENSMUSG00000042460,ENSMUSG00000037251,ENSMUSG00000063362,ENSMUSG00000037280,ENSMUSG00000003746,ENSMUSG00000031232,ENSMUSG00000037470,ENSMUSG00000024085,ENSMUSG00000023068,ENSMUSG00000039774,ENSMUSG00000015027,ENSMUSG00000057337,ENSMUSG00000028414,ENSMUSG00000022686,ENSMUSG00000061731,ENSMUSG00000032226,ENSMUSG00000071650,ENSMUSG00000041084,ENSMUSG00000030283,ENSMUSG00000022200,ENSMUSG00000028413,ENSMUSG00000040151,ENSMUSG00000118664,ENSMUSG00000035311,ENSMUSG00000035847,ENSMUSG00000035873,ENSMUSG00000056091,ENSMUSG00000074916,ENSMUSG00000066235,ENSMUSG00000043671,ENSMUSG00000021360,ENSMUSG00000091387,ENSMUSG00000027198,ENSMUSG00000046367,ENSMUSG00000026600,ENSMUSG00000019969,ENSMUSG00000026556,ENSMUSG00000021978,ENSMUSG00000034126,ENSMUSG00000027661,ENSMUSG00000035245,ENSMUSG00000026223,ENSMUSG00000043300,ENSMUSG00000034620,ENSMUSG00000025534,ENSMUSG00000029233,ENSMUSG00000030062,ENSMUSG00000003402,ENSMUSG00000027963,ENSMUSG00000043587,ENSMUSG00000030104,ENSMUSG00000035845,ENSMUSG00000042797,ENSMUSG00000030306,ENSMUSG00000013846,ENSMUSG00000031521,ENSMUSG00000047434,ENSMUSG00000048970,ENSMUSG00000032123,ENSMUSG00000039357,ENSMUSG00000041594,ENSMUSG00000016918"
"GO:BP","glycoprotein biosynthetic process","GO:0009101","2.348112720649841e-7","6.6292810587101165","315","5323","110","27205","ENSMUSG00000049307,ENSMUSG00000051177,ENSMUSG00000060402,ENSMUSG00000042104,ENSMUSG00000034780,ENSMUSG00000025425,ENSMUSG00000033792,ENSMUSG00000032640,ENSMUSG00000038843,ENSMUSG00000042042,ENSMUSG00000043019,ENSMUSG00000030657,ENSMUSG00000052430,ENSMUSG00000036676,ENSMUSG00000022747,ENSMUSG00000067336,ENSMUSG00000034487,ENSMUSG00000022885,ENSMUSG00000005534,ENSMUSG00000021065,ENSMUSG00000026994,ENSMUSG00000051950,ENSMUSG00000031239,ENSMUSG00000036632,ENSMUSG00000021188,ENSMUSG00000028521,ENSMUSG00000021130,ENSMUSG00000003418,ENSMUSG00000032252,ENSMUSG00000045205,ENSMUSG00000032437,ENSMUSG00000040710,ENSMUSG00000035778,ENSMUSG00000039497,ENSMUSG00000036155,ENSMUSG00000043067,ENSMUSG00000032116,ENSMUSG00000000420,ENSMUSG00000022793,ENSMUSG00000075470,ENSMUSG00000036197,ENSMUSG00000031608,ENSMUSG00000034612,ENSMUSG00000008763,ENSMUSG00000070407,ENSMUSG00000055373,ENSMUSG00000019888,ENSMUSG00000024413,ENSMUSG00000036356,ENSMUSG00000025544,ENSMUSG00000029234,ENSMUSG00000021236,ENSMUSG00000056124,ENSMUSG00000026110,ENSMUSG00000043153,ENSMUSG00000067851,ENSMUSG00000047146,ENSMUSG00000042460,ENSMUSG00000037251,ENSMUSG00000063362,ENSMUSG00000037280,ENSMUSG00000003746,ENSMUSG00000031232,ENSMUSG00000037470,ENSMUSG00000024085,ENSMUSG00000023068,ENSMUSG00000039774,ENSMUSG00000057337,ENSMUSG00000028414,ENSMUSG00000022686,ENSMUSG00000061731,ENSMUSG00000032226,ENSMUSG00000041084,ENSMUSG00000030283,ENSMUSG00000022200,ENSMUSG00000028413,ENSMUSG00000040151,ENSMUSG00000118664,ENSMUSG00000035873,ENSMUSG00000056091,ENSMUSG00000074916,ENSMUSG00000066235,ENSMUSG00000043671,ENSMUSG00000021360,ENSMUSG00000091387,ENSMUSG00000027198,ENSMUSG00000046367,ENSMUSG00000026600,ENSMUSG00000019969,ENSMUSG00000026556,ENSMUSG00000021978,ENSMUSG00000034126,ENSMUSG00000027661,ENSMUSG00000035245,ENSMUSG00000026223,ENSMUSG00000043300,ENSMUSG00000034620,ENSMUSG00000029233,ENSMUSG00000030062,ENSMUSG00000027963,ENSMUSG00000043587,ENSMUSG00000035845,ENSMUSG00000042797,ENSMUSG00000030306,ENSMUSG00000013846,ENSMUSG00000047434,ENSMUSG00000048970,ENSMUSG00000032123,ENSMUSG00000039357,ENSMUSG00000041594"
